start_date,end_date,production_type,value_start_date,value_end_date,value_value,Hour
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,BIOMASS,2023-06-15 11:00:00+02:00,2023-06-15 12:00:00+02:00,346,11
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,BIOMASS,2023-06-15 13:00:00+02:00,2023-06-15 14:00:00+02:00,346,13
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,BIOMASS,2023-06-15 14:00:00+02:00,2023-06-15 15:00:00+02:00,347,14
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,BIOMASS,2023-06-15 15:00:00+02:00,2023-06-15 16:00:00+02:00,346,15
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,BIOMASS,2023-06-15 16:00:00+02:00,2023-06-15 17:00:00+02:00,336,16
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,BIOMASS,2023-06-15 17:00:00+02:00,2023-06-15 18:00:00+02:00,326,17
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,BIOMASS,2023-06-15 18:00:00+02:00,2023-06-15 19:00:00+02:00,319,18
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,BIOMASS,2023-06-15 19:00:00+02:00,2023-06-15 20:00:00+02:00,324,19
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_GAS,2023-06-15 11:00:00+02:00,2023-06-15 12:00:00+02:00,2923,11
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_GAS,2023-06-15 13:00:00+02:00,2023-06-15 14:00:00+02:00,3018,13
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_GAS,2023-06-15 14:00:00+02:00,2023-06-15 15:00:00+02:00,2988,14
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_GAS,2023-06-15 15:00:00+02:00,2023-06-15 16:00:00+02:00,2961,15
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_GAS,2023-06-15 16:00:00+02:00,2023-06-15 17:00:00+02:00,2939,16
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_GAS,2023-06-15 17:00:00+02:00,2023-06-15 18:00:00+02:00,3073,17
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_GAS,2023-06-15 18:00:00+02:00,2023-06-15 19:00:00+02:00,3020,18
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_GAS,2023-06-15 19:00:00+02:00,2023-06-15 20:00:00+02:00,3106,19
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_HARD_COAL,2023-06-15 11:00:00+02:00,2023-06-15 12:00:00+02:00,17,11
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_HARD_COAL,2023-06-15 13:00:00+02:00,2023-06-15 14:00:00+02:00,18,13
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_HARD_COAL,2023-06-15 14:00:00+02:00,2023-06-15 15:00:00+02:00,19,14
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_HARD_COAL,2023-06-15 15:00:00+02:00,2023-06-15 16:00:00+02:00,19,15
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_HARD_COAL,2023-06-15 16:00:00+02:00,2023-06-15 17:00:00+02:00,19,16
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_HARD_COAL,2023-06-15 17:00:00+02:00,2023-06-15 18:00:00+02:00,19,17
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_HARD_COAL,2023-06-15 18:00:00+02:00,2023-06-15 19:00:00+02:00,19,18
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_HARD_COAL,2023-06-15 19:00:00+02:00,2023-06-15 20:00:00+02:00,18,19
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_OIL,2023-06-15 11:00:00+02:00,2023-06-15 12:00:00+02:00,134,11
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_OIL,2023-06-15 13:00:00+02:00,2023-06-15 14:00:00+02:00,134,13
